id,output
0,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (TOPPING saute ) (TOPPING spinach ) (TOPPING tomato ) (NOT (TOPPING sausage ) ) ) )
1,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING exta ) (TOPPING roast ) (TOPPING red ) (TOPPING pepper ) (NOT (TOPPING sausage ) ) (COMPLEX_TOPPING (QUANTITY more ) (TOPPING cheese ) ) ) )
2,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE new york ) (TOPPING tomato ) (TOPPING sauce ) (NOT (TOPPING onion ) ) ) )
3,(ORDER (PIZZAORDER (NUMBER five ) (STYLE lnch ) (TOPPING garlic ) (TOPPING onion ) (TOPPING pesto ) ) )
4,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pesto ) (TOPPING pan ) (TOPPING ham ) ) )
5,(ORDER (PIZZAORDER (NUMBER ry a ) (STYLE largesize ) (TOPPING ham ) (COMPLEX_TOPPING (QUANTITY gilled ) (TOPPING chicken ) ) (COMPLEX_TOPPING (QUANTITY a tiny bit of ) (TOPPING cheese ) ) ) )
6,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING med ) (TOPPING peto ) (TOPPING sauce ) (TOPPING ham ) ) (DRINKORDER (NUMBER a ) (SIZE large ) (DRINKTYPE ice tea ) (CONTAINERTYPE bottle ) ) )
7,(ORDER (PIZZAORDER (NUMBER three ) (SIZE extra large ) (STYLE chard ) ) (DRINKORDER (NUMBER three ) (CONTAINERTYPE can ) ) )
8,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING a ) ) (PIZZAORDER (NUMBER one ) (SIZE med ) (TOPPING shrimp ) ) (PIZZAORDER (NUMBER a ) (COMPLEX_TOPPING (QUANTITY litle bit ) (TOPPING kimchi ) ) ) )
9,(ORDER (PIZZAORDER (NUMBER eleven ) (TOPPING green ) (TOPPING pepper ) (COMPLEX_TOPPING (QUANTITY a lot f ) (TOPPING meatbll ) ) ) )
10,(ORDER )
11,(ORDER (PIZZAORDER (NUMBER a ) (STYLE meium ) (TOPPING black ) (TOPPING olive ) (NOT (TOPPING pepperoni ) ) ) )
12,(ORDER (PIZZAORDER (NUMBER one ) (SIZE eleen lunch ) (TOPPING ham ) ) )
13,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (TOPPING jalepeno ) (TOPPING pepper ) (TOPPING jalapeno ) (TOPPING ham ) ) )
14,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING green ) (TOPPING olive ) ) )
15,(ORDER (PIZZAORDER (NUMBER four ) (SIZE lunch ) (TOPPING ham ) (TOPPING olive ) ) )
16,(ORDER (PIZZAORDER (NUMBER a ) (SIZE mediumsized ) (TOPPING pine ) (TOPPING apple ) (TOPPING chicken ) (COMPLEX_TOPPING (QUANTITY a little bit ) (TOPPING cheese ) ) ) )
17,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING cheddar ) (TOPPING cheese ) (TOPPING olive ) (NOT (TOPPING canadian bacon ) ) ) )
18,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING sausage ) (TOPPING pickle ) (NOT (TOPPING roast ) ) ) )
19,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING caper ) (TOPPING bacon ) (TOPPING pepper ) ) )
20,(ORDER (PIZZAORDER (NUMBER an ) (SIZE large ) (STYLE vegn ) (COMPLEX_TOPPING (QUANTITY a lot of ) (TOPPING pineapple ) ) (COMPLEX_TOPPING (QUANTITY a lot of ) (TOPPING mushroom ) ) ) (DRINKORDER (NUMBER two ) (SIZE large ) (DRINKTYPE seven up ) ) (DRINKORDER (NUMBER one ) (SIZE medium ) (DRINKTYPE sprite ) ) )
21,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING caper ) (TOPPING sweet ) (TOPPING tuna ) ) )
